No,약어,영문/원문,한글 해석
34,Account assignment; automatic,"자동계정 지정 FI에서 거래를 전기(posting)하는 경우, 사용자가 입력을 하지 않고 시스템이 적절한 계정으로 개별항목을 자동적으로 지정하는 기능","In the Automatic Account Assignment function in FI, when a transaction is posted, the system automatically assigns the line items to the appropriate accounts without user input."
35,Account balance,"한 계정에 기록된 거래들을 개괄적인 형태로 거래기록대상기간(posting period), 차변 및 대변으로 구분하여 표시하여 줌. 거래기록대상기간의 잔액과 누적잔액도 표시하여 줌.","Displays the transactions recorded in an account in a summarized format, organized by posting period, debit, and credit. Also shows the balance and cumulative balance for each posting period."
36,Account group,마스터 레코드(Master Record) 입력을 제어하는 속성들의 요약으로 각 마스터 레코드는 하나의 계정그룹(Account Group)에 지정되어야 한다. 계정그룹에 따라 마스터 레코드에 어떠한 Data가 필요한지가 결정되면 마스터 레코드의 번호가 정해진다.,"마스터 레코드 입력을 제어하는 속성들의 요약이며, 각 마스터 레코드는 하나의 Account Group에 지정되어야 한다. Account Group에 따라 마스터 레코드에 어떤 Data가 필요한지가 결정되고, 이에 따라 마스터 레코드 번호가 정해진다."
37,Account management,"계정은 그 관리방식에 따라 미결관리(Open item management)를 하는 계정과 미결관리를 하지 않는(Non-open item Management) 계정으로 나눌 수 있다. 미결관리를 하게 되면 그 계정에 기표된 건별 항목들은 반드시 반제처리(Clearing)에 의해서 그 미결상태가 정리(Cleared)된다. 현금이나 예금과 같은 계정은 업무상으로 미결관리의 의미가 없거나 불가능하므로 미결관리를 하지 않는 계정으로 설정하게 된다. Customer나 Vendor의 경우에는 선택여부에 관계없이 시스템적으로 무조건 미결관리를 하는 것으로 설계되어 있으며, G/L 계정의 경우에만 미결관리여부를 선택할 수 있다. Asset의 경우에는 명시적이지 않으나 미결관리를 하는 개념이며, Material의 경우에는 그렇지 않다. 한편, 계정을 조회하는 경우 잔액조회 뿐만이 아니라, 기표 건별로 조회를 하는 경우도 있는 바, 이러한 선택사항을 Line Item Display라고 한다. 따라서 예금계정의 경우 미결관리는 하지 않으나 건별 조회는 가능하도록 설정(G/L계정마스터에서)할 수 있다. 일반적으로 거의 모든 계정에 대해 건별 조회가 가능하도록 하는데, 이 경우 정보조회에 편리한 반면 DB의 Space를 많이 차지한다는 단점을 가진다.","계정은 그 관리방식에 따라 미결관리(Open item management)를 하는 계정과 미결관리를 하지 않는(Non-open item Management) 계정으로 나눌 수 있다. 미결관리를 하게 되면 그 계정에 기표된 건별 항목들은 반드시 반제처리(Clearing)에 의해서 그 미결상태가 정리(Cleared)된다. 현금이나 예금과 같은 계정은 업무상으로 미결관리의 의미가 없거나 불가능하므로 미결관리를 하지 않는 계정으로 설정하게 된다. Customer나 Vendor의 경우에는 선택여부에 관계없이 시스템적으로 무조건 미결관리를 하는 것으로 설계되어 있으며, G/L 계정의 경우에만 미결관리여부를 선택할 수 있다. Asset의 경우에는 명시적이지 않으나 미결관리를 하는 개념이며, Material의 경우에는 그렇지 않다. 한편, 계정을 조회하는 경우 잔액조회 뿐만이 아니라, 기표 건별로 조회를 하는 경우도 있는 바, 이러한 선택사항을 Line Item Display라고 한다. 따라서 예금계정의 경우 미결관리는 하지 않으나 건별 조회는 가능하도록 설정(G/L계정마스터에서)할 수 있다. 일반적으로 거의 모든 계정에 대해 건별 조회가 가능하도록 하는데, 이 경우 정보조회에 편리한 반면 DB의 Space를 많이 차지한다는 단점을 가진다."
38,Account payable,"기업이 vendor에게 갚아야 할 모든 금액으로 은행차입금, 당좌차월, 외상매입금, customer로부터 받은 계약금 등을 모두 포함함주) Accounts payable은 일반적으로 외상매입금, 미지급금을 포함한 기업의 모든 채무를 지칭하는 것으로 사용하고 있음","기업이 vendor에게 갚아야 할 모든 금액으로, 은행차입금, 당좌차월, 외상매입금, customer로부터 받은 계약금 등을 모두 포함함  
주) Accounts payable은 일반적으로 외상매입금, 미지급금을 포함한 기업의 모든 채무를 지칭하는 용어로 사용되고 있음"
39,Account reconciliation,회계처리가 일반적으로 인정된 회계원칙(GAAP)에 따라 적절히 되었는가를 확인하는 과정으로 일반적으로 총계정원장(G/L)상의 잔액과 보조부상의 잔액을 비교하고 차이를 조정하는 것을 말한다. SAP 시스템에서는 거래를 전기하면 보조부(예를 들면 customer계정이나 vendor계정)에 입력이 되는 동시에 G/L계정(외상매출금계정이나 외상매입금계정. 보조부의 계정과 연결되어 있는 계정을 SAP에서는 특히 조정계정(reconciliation account)이라 함)에 입력이되어 자동조정이 되므로 별도의 계정조정절차가 필요없게 된다.cf) 회계조정(Accounting reconciliation),"기업의 회계처리가 일반적으로 인정된 회계원칙(GAAP)에 따라 적정하게 이루어졌는지를 확인하는 과정으로, 일반적으로 총계정원장(G/L)의 잔액과 보조부 잔액을 비교해 차이를 조정하는 것을 의미한다.  

SAP 시스템에서는 거래를 전기하면 보조부(예: customer 계정, vendor 계정)에 입력되는 동시에 G/L 계정(외상매출금 계정, 외상매입금 계정. SAP에서는 보조부 계정과 연결된 계정을 특히 조정계정(reconciliation account)이라 함)에 자동으로 입력되어 자동 조정이 이루어지므로, 별도의 계정조정 절차가 필요 없게 된다.  
cf) 회계조정(Accounting reconciliation)"
40,Account type,"하나의 계정이 어떤 회계 영역에 속하는지를 알려주는 키로서 예를 들면 Asset(고정자산), Customer(고객), Vendor(구매처), Material(자재), G/L 등이 있다. 동일한 계정번호가 서로 다른 계정유형에 사용될 수 있으므로 계정을 파악하기 위해서는 계정번호와 계정유형이 모두 필요하다.","하나의 계정이 어떤 회계 영역에 속하는지를 알려주는 키로서, 예를 들면 Asset(고정자산), Customer(고객), Vendor(구매처), Material(자재), G/L 등이 있다. 동일한 계정번호가 서로 다른 계정유형에 사용될 수 있으므로, 계정을 식별하기 위해서는 계정번호와 계정유형이 모두 필요하다."
41,Accounting document,"(회계)전표는 항상 표제부(document header)와 적어도 두개이상의 개별항목(line item)으로 구성되어 있다. 전표의 잔액은 반드시 0 이어야 한다. 기표(posting)를 하는 경우, 대상 계정의 월 차변 및 대변잔액이 자동적으로 새롭게 수정된다. 전표는 시스템내에 원시증빙(original document)을 반영하여 준다.","An accounting document is always composed of a document header and at least two line items. The balance of the document must always be zero. When posting is performed, the monthly debit and credit balances of the relevant accounts are automatically updated. An accounting document represents the original document within the system."
42,Accounting principle,"SAP는 Customer, Vendor, Asset 등의 보조부관련 계정을 중심으로 기표하면, 시스템이 자동으로 General Ledger와 Sub-ledger에 동시에 금액을 반영하는 구조로 되어 있으며, 이를 Accounting Principle 이라고 부르기도 한다. Accounting Principle 하에서는 총계정원장과 보조부가 원천적으로 금액이 다를 수가 없으므로, 결산시 많은 시간을 차지하는 Reconciliation 작업이 필요 없게 된다. 이러한 기표방식은 물류와의 통합상황을 가정하면 더 큰 장점을 가진다. 즉, 판매, 구매, 재고관리 등의 업무처리시에는 거래처(Customer, Vendor)나 자재번호를 중심으로 거래처리를 하고 이를 기준으로 재무회계전표가 생성될 때 사전에 정한 G/L 계정으로 자동기표가 생성되게 된다. 참고로, 외상매출금, 외상매입금 등 거래처와 관련된 계정들은 사전에 Customer나 Vendor Master Record에 정의된 계정으로 자동결정되며, 이를 Reconciliation Account 라고 부른다. 고정자산의 경우에는 Asset Class를 경유하여 사전에 정의된 고정자산과 관련된 여러 계정(건물, 감가충당금, 고정자산 처분손실 등)이 자동으로 정해지도록 되어 있으며, 자재(Material)와 관련하여서는 별도의 Customizing 작업에 의해 관련 G/L 계정들이 자동 결정된다.","SAP는 Customer, Vendor, Asset 등의 보조부관련 계정을 중심으로 기표하면, 시스템이 자동으로 General Ledger와 Sub-ledger에 동시에 금액을 반영하는 구조로 되어 있으며, 이를 Accounting Principle 이라고 부르기도 한다. Accounting Principle 하에서는 총계정원장과 보조부가 원천적으로 금액이 다를 수가 없으므로, 결산시 많은 시간을 차지하는 Reconciliation 작업이 필요 없게 된다. 이러한 기표방식은 물류와의 통합상황을 가정하면 더 큰 장점을 가진다. 즉, 판매, 구매, 재고관리 등의 업무처리시에는 거래처(Customer, Vendor)나 자재번호를 중심으로 거래처리를 하고 이를 기준으로 재무회계전표가 생성될 때 사전에 정한 G/L 계정으로 자동기표가 생성되게 된다. 참고로, 외상매출금, 외상매입금 등 거래처와 관련된 계정들은 사전에 Customer나 Vendor Master Record에 정의된 계정으로 자동결정되며, 이를 Reconciliation Account 라고 부른다. 고정자산의 경우에는 Asset Class를 경유하여 사전에 정의된 고정자산과 관련된 여러 계정(건물, 감가충당금, 고정자산 처분손실 등)이 자동으로 정해지도록 되어 있으며, 자재(Material)와 관련하여서는 별도의 Customizing 작업에 의해 관련 G/L 계정들이 자동 결정된다."
43,ACCR,Amplified Category Concept Review,확장 카테고리 컨셉 검토
44,ACEP,Adult Continuous Education Program,성인 평생교육 프로그램
45,ACG,All Condition Gear,모든 기후 조건용 기어
46,ACT,Advanced Composite Textile,고급 복합 섬유
47,Activity,생산 및 제조 실행시 내부적으로 발생하는 생산관련 비용을 cost center에 할당하기 위한 생산 절차 및 단계 또는 제공되는 서비스를 지칭. Activity는 내부적으로 관리 관점에서 지정된 비용 비율(Charge rate)로 사용되는 값들이 지정된 Activity type으로 구분,"생산 및 제조 실행 시 내부적으로 발생하는 생산 관련 비용을 cost center에 할당하기 위한 생산 절차와 단계, 또는 제공되는 서비스를 지칭. Activity는 내부 관리 관점에서 지정된 비용 비율(Charge rate)로 사용되는 값들이 지정된 Activity type으로 구분됨."
48,Activity Based Costing,"실제로 발생되어진 Activity에 의해 산정되는 원가 계산 방법으로, 이렇게 발생되어 모아진 원가 요소들을 제품 또는 고객, 시장영역(Market), 프로젝트 등에 할당","실제로 발생한 Activity를 기준으로 원가를 산정하는 방법으로, 이렇게 발생해 모아진 원가 요소들을 제품, 고객, 시장 영역(Market), 프로젝트 등에 배부하는 방식."
49,Activity dependant SKF,Activity에 종속적인 SKF. 부서의 Activity Independent Cost를 해당 부서의 Activity별로 안분하는데 사용될 수 있음,Activity에 종속적인 SKF. 부서의 Activity Independent Cost를 해당 부서의 각 Activity로 안분하는 데 사용될 수 있음
50,Activity independant SKF,Activity에 독립적인 SKF,Activity와 무관한 SKF
51,Activity type,"재화나 용역의 형태에 따라 Cost center의 Activity를 구분한 것으로 생산량, 노동시간, 기계가동시간 등이 있음","재화나 용역의 형태에 따라 Cost center의 Activity를 구분한 것으로, 생산량, 노동시간, 기계 가동시간 등이 있다."
52,Actual costing,실제원가계산 (표준원가가 아닌),Actual cost calculation (not standard cost)
53,Actual costs,"- PP  특정 회계기간 동안에 특정 오브젝트에 대해서 발생되어진 모든 원가. Actual Cost는 Order에 대한 자품목의 출고, Order에 대한 확정(Confirmation) 또는 출고 및 외부처리(External Processing)와 같은 기표가 발생되는 트랜잭션에 대해서도 Update됨.- CO  생산효율에 의한 원가로서 표준보다는 공수, 또는 소요자재의 실제 투입량에 의해 계산된 원가.","- PP  
  특정 회계기간 동안 특정 오브젝트에 대해 발생한 모든 원가. Actual Cost는 Order에 대한 자품목 출고, Order에 대한 Confirmation, 출고 및 External Processing과 같은 기표가 발생하는 트랜잭션에 대해서도 업데이트됨.  

- CO  
  생산 효율에 의해 발생한 원가로, 표준이 아니라 공수 또는 소요 자재의 실제 투입량에 따라 계산된 원가."
54,AD,Anti Dumping,반덤핑
55,Adanced Planning and Scheduling,"기존의 MRP, JIT, ERP 등의 생산계획 수립방식에서 진보된 기법으로, 공정능력과 가용자재, 반제품 재고, WIP 정보 등을 동시에 고려하여 생산계획을 수립하는 기법을 말합니다.","기존의 MRP, JIT, ERP 등 생산계획 방식에서 한 단계 진보한 기법으로, 공정 능력과 가용 자재, 반제품 재고, WIP 정보 등을 동시에 고려해 생산계획을 수립하는 방법을 말합니다."
56,ADCS,Advanced Digital Creation Studio,Advanced Digital Creation Studio
57,ADIT,Asia Developer Integration Training,Asia Developer Integration Training
58,Adjust standard cost,"표준원가산정(Standard cost estimate) 방법을 이용하여 계산된 계획원가(Planned cost)와 비교시, 제조원가 산정방법.",표준원가산정(Standard cost estimate) 방법을 통해 계산된 계획원가(Planned cost)와 비교하여 제조원가를 산정하는 방법.
59,ADW,Active Data Warehouse,실시간 데이터 웨어하우스
60,AE,Account Executive,Account Executive
61,AEIT,Asia Engineer Integration Training,Asia Engineer Integration Training
62,AEO,Authorized Economic Operator,수출입안전관리 우수업체
63,AF,Air Freight,항공 화물
64,AF,Air Force,에어 포스
65,AFA,"Amazon, Facebook, Apple","Amazon, Facebook, Apple"
66,AGB,Alternative Air Grp Basketball,Alternative Air Grp Basketball
67,AGD,Asia Generated Discovery,Asia Generated Discovery
68,AGF,Alternative Air Grp Fitness,Alternative Air Grp Fitness
69,AGK,Alternative Air Grp Children,Alternative Air Grp 아이동
70,AGO,Alternative Air Grp Other,Alternative Air 그룹 기타
71,AGQ,Alternative Air Grp Racquest,Alternative Air Grp Racquest
72,AGR,Alternative Air Grp Running,Alternative Air Grp Running
73,AGV,Auto Guide Vehicle,무인 운반 차량
74,AI,Adult Inspired,성인에서 영감을 받은
75,AI,Adobe Illustrator,Adobe Illustrator
76,AIT,Asia Integration Training,Asia Integration Training
77,AITC,Apparel Innovation And Training Center,Apparel Innovation And Training Center
78,AIW,Accelerated Improvement Workshop,Accelerated Improvement Workshop → 개선 가속화 워크숍
79,AJ,Air Jordan,Air Jordan
80,AJT,After Job Training,직무 수행 후 교육
81,AKA,As Known As,다른 이름으로도 알려진
82,ALB,American Land Bridge,American Land Bridge
83,ALP,Americas Local Product,미주 지역 로컬 제품
84,ALS,Active Life Style,액티브 라이프스타일
85,Alternative BOM,"동일BOM 그룹내에서 하나의 BOM을 식별하는 사용된다.예를들어, 다른 Lot size에 따라 다른 생산 절차가 필요하다면, 하나의 제품에 대해 여러개의 BOM을 구성할 수 있다. 이들 Alternative BOM들은 하나의 multiple BOM으로 묶인다.","동일 BOM 그룹 내에서 하나의 BOM을 식별하는 데 사용된다. 예를 들어, Lot size가 달라져 다른 생산 절차가 필요하다면 하나의 제품에 대해 여러 개의 BOM을 구성할 수 있다. 이러한 Alternative BOM들은 하나의 multiple BOM으로 묶인다."
86,AM,Autonomous Maintenance,자주보전
87,AM,Air Max,Air Max
88,AMAP,As Much As Possible,가능한 한 최대한
89,AME,Advanced Manufacturing Engineering,Advanced Manufacturing Engineering
90,AMER,America Region,미주 리전
91,AMFC,America Footwear Creation,America Footwear Creation
92,AMFC,Region의 요청으로 기존의 신발을 일부 변경 더 싸게 만들어 팔기 위해 만들어진 팀,Region의 요청으로 기존 신발을 일부 변경하여 더 저렴하게 생산‧판매하기 위해 구성된 팀
93,AML,Aras Markup Language,Aras 마크업 언어
94,AMO,A Miracle Occurred,기적이 일어났음
95,AMR,Advanced Material Research,고급 소재 연구
96,AMS,Automatic Manifest System,자동 선적 명세 시스템
97,AP,Asia Pacific Region,아시아-태평양 지역
98,AP,Account Payable Group,미지급금 담당 그룹
99,APE,Advanced Products Engineering,Advanced Products Engineering
100,APFC,Asia Pacific Footwear Creation,Asia Pacific Footwear Creation
101,APFC,Region의 요청으로 기존의 신발을 일부 변경 더 싸게 만들어 팔기 위해 만들어진 팀,Region의 요청으로 기존 신발을 일부 변경해 더 저렴하게 생산·판매하기 위해 만들어진 팀
102,APHQ,Asia Pacific Headquarter,아시아 태평양 본사
103,APLM,Associate Product Line Manager,Associate Product Line Manager
104,APM,Account Program Manager,Account Program Manager
105,APMA,"<span style=""font-size: 10pt; font-family: Calibri; color: #18110a;"">American Podiatric Medical Association</span>",American Podiatric Medical Association
106,APQP,Advanced Production Quality Planning,고급 생산 품질 기획
107,APRL,Apparel,의류
108,APS,Advanced Planning Scheduling,Advanced Planning Scheduling
109,APS,Athlete Performance Solution,Athlete Performance Solution
110,APS,Adanced Planning and Scheduling 약어,Advanced Planning and Scheduling: 고급 계획 및 일정 관리
111,AQL,Acceptable Quality Limit,허용품질한계
112,AQL,Acceptable Quality Level,허용 품질 수준
113,AQL,Average Quality Level,평균 품질 수준
114,AR,Augumented Reality,Augmented Reality
115,ARES,Advanced Rheumatic Expansion System,Advanced Rheumatic Expansion System
116,AS,Arch Support,아치 서포트 (발 아치 지지대)
117,ASAP,As Soon As Possible,가능한 한 빨리
118,ASEAN,Association of Southeast Asian Nations,동남아시아 국가 연합
119,ASF,Advanced Streaming Format,고급 스트리밍 형식
120,ASIA RFC,Asia Ready For Commercialization,상용화 준비 완료 (Asia)
121,ASK,Action Sports Skateboarding,액션 스포츠 스케이트보딩
122,ASM,Account Sales Manager,Account Sales Manager
123,ASM,Mobility,모빌리티
124,ASN,Advanced Shipping Notes,Advance Shipping Notes
125,ASS,Assembly,조립
126,Asset Class,FI의 GL계정과 고정자산의 Master record와의 관계를 설정한다.,FI의 GL 계정과 고정자산 Master record 간의 관계를 설정한다.
127,AST,Above Ground Storage Tank,지상 저장 탱크
128,ASTM,American Society For Testing And Materials,미국 재료 시험 협회
129,AT,Assessment Tool,Assessment Tool
130,ATC,Actual Departure Date,실제 출발일
131,ATE,Advanced Technology Exploration,첨단 기술 탐색
132,ATL,Above The Line,위선 상부 비용
133,ATP,Available To Promise,납품 가능 수량
134,ATP quantity,"Available-to-promise quantity.자재소요량계획(MRP) 실행시 가용한 자재 및 품목의 수량으로 새로운 sales order에 대한 가용성 점검시 사용가능. 이 수량은 창고 재고뿐 아니라 producton orders, planned orders 등과 같은 계획 입고량(planned receipt quantity)을 감안하여 계산되며, 이 수량을 이용하여 SD모듈에서는 sales order에 대한 정확한 가용성 검사가 가능하다.","약속 가능 수량(Available-to-promise quantity). 자재소요량계획(MRP) 실행 시 새로운 sales order에 대한 가용성 점검에 사용되는, 가용 자재 및 품목 수량을 의미한다. 이 수량은 창고 재고뿐 아니라 production orders, planned orders 등의 계획 입고량(planned receipt quantity)을 반영하여 계산되며, 이를 통해 SD 모듈에서 sales order에 대한 정확한 가용성 검사가 가능하다."
135,ATS,Actual Time Of Shipment,실제 선적 시각
136,Automatic cost estimate,"BOM, Routing 정보에 근거한 제조원가 산정",BOM 및 Routing 정보를 기반으로 한 제조 원가 산정
137,Availability check,SD모듈의 sales order에 대한 판매수량 검증 및 production order에 대한 생산집행(PAC-Production Activity Control)에서 해당 order에 대하여 자품목에 가용자원을 검증함. Availability check 기능은 다음 항목들을 포함한다.- Material availability (생산오더에서의 자재에 대한 가용성)- Work center capacity (작업장에서의 기계 및 사람에 대한 가용성)- Production resources and tools (생산오더에서의 PRT에 대한 가용성),"SD 모듈의 sales order에 대한 판매 수량을 검증하고, production order에 대한 생산 집행(PAC-Production Activity Control)에서 해당 order의 자품목에 대해 가용 자원을 검증함. Availability check 기능은 다음 항목들을 포함한다.  
- Material availability: 생산 오더에서 자재에 대한 가용성  
- Work center capacity: 작업장에서 기계 및 인력에 대한 가용성  
- Production resources and tools: 생산 오더에서 PRT에 대한 가용성"
138,AVG,Average,평균
139,avi,Audio Video Interleave,Audio Video Interleave
140,AWB,Airway Bill,항공 운송장
141,AWOL,Absent Without Official Leave,무단 결근
142,AWS,Amazon Web Service,Amazon Web Service
143,AZOdye,Azobenzene Dye,아조벤젠 염료
144,B,Binding,바인딩
145,B.T.X,"Benzene, Toluene, Xylene","벤젠, 톨루엔, 자일렌"
146,B/M,Binding/Miscellaneous,제본/기타
147,B/N,Binding/Nylon,바인딩/나일론
148,B/P,Binding/Polyester,바인딩/폴리에스터
149,B2B,Business To Business,기업 간 거래
150,BAC,Budget At Completion,완료 시점 예산
151,BAC,Business Assurance Certification,Business Assurance Certification
152,Backflush,특정 order의 자품목에 대한 실제 출고 시기보다 후에 발생한 출고에 대한 자동 기표(Automatic goods issue posting)가 발생하는 형태의 트랜잭션. 일반적으로 Backflush가 적용되는 자재의 출고는 Operation 또는 Order에 대한 확정(Confirmation)이 이루어질 때 실행.,특정 오더의 자품목에 대해 실제 출고 시점보다 늦게 출고가 발생한 것으로 간주하여 자동 기표(Automatic goods issue posting)가 이루어지는 형태의 트랜잭션. 일반적으로 Backflush가 적용되는 자재의 출고는 해당 Operation 또는 Order에 대한 확정(Confirmation)이 이루어질 때 실행된다.
153,BAF,Bunker Adjustment Factor,선복 연료비 조정계수
154,BAF,Bonding Area File,Bonding 영역 파일
155,BAL,Build Ahead Limit,Build Ahead 한도
156,Balance carried forward,전년도로부터의 계정잔액의 이월. 대차대조표의 계정잔액만이 이월된다.,Carrying forward account balances from the previous year. Only balance sheet account balances are carried forward.
157,Balance sheet account,반대어손익계산서계정(profit and loss account),손익계산서 계정 (profit and loss account)
158,BAM,Brand Alignment Meeting,브랜드 얼라인먼트 미팅
159,BAM,Basketball Mens,남자 농구
160,Bank master data,"은행과 관련된 거래를 수행하기위해 필요한 은행에 관한 정보. 이것은 은행 디렉토리에 저장되며, 필요한 모든 은행에 관한 정보를 갖고있다. 은행 마스터 데이터에는 은행이름, 주소와 그 나라에 고유한 사항 등이 포함된다.","Bank 관련 거래를 수행하기 위해 필요한 은행 정보. Bank Directory에 저장되며, 필요한 모든 은행에 대한 정보를 포함한다. Bank Master Data에는 은행 이름, 주소, 해당 국가의 고유 정보 등이 포함된다."
161,Base unit of measure,"Material 재고가 관리되는 단위. 시스템은 다른 단위로 입력된 양을 기본 단위로 전환한다. 재고관리(Inventory Management)에서, 기본단위는 재고보관 단위와 같다.","Unit in which material inventory is managed. The system converts quantities entered in other units into the base unit. In Inventory Management, the base unit is the same as the storage unit."
162,Baseline date for payment,지급조건에 있어서의 기준일.,Base date for payment terms.
